customer_id,consent_id,created_datetime,month,adr_provider,data_holder,product_type,data_cluster_requested,customer_segment,channel,device,authentication_method,redirect_type,otp_sent,otp_success,consent_status,drop_off_stage,session_duration_seconds,completion_time_seconds,completed_datetime,consent_duration_days,cdr_standard_version,error_reason
100023,CONS-2025-000023,2025-07-23 22:01:00,2025-07,Frollo,NAB,Transaction Account,Accounts + Transactions,Retail,Mobile App,Android,Password,App-to-App,Y,Y,Completed,Completed,194,111,2025-07-23 22:02:51,90,v1.26,
100024,CONS-2025-000024,2025-10-28 20:06:00,2025-10,Cuscal,Westpac,Home Loan,Cards + Transactions,Retail,Mobile App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,170,110,2025-10-28 20:07:50,180,v1.28,
100025,CONS-2025-000025,2025-12-27 15:51:00,2025-12,Basiq,AMP Bank,Credit Card,Full Banking Data,Small Business,Mobile App,Android,Biometric,OAuth Redirect,Y,Y,Completed,Completed,187,88,2025-12-27 15:52:28,365,v1.27,
100026,CONS-2025-000026,2025-07-15 14:21:00,2025-07,NextGen,NAB,Savings Account,Accounts + Transactions,Small Business,Mobile App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,144,116,2025-07-15 14:22:56,180,v1.28,
100027,CONS-2025-000027,2025-04-28 04:36:00,2025-04,Adatree,AMP Bank,Home Loan,Full Banking Data,Sole Trader,Web,Desktop,Password,OAuth Redirect,Y,Y,Completed,Completed,139,79,2025-04-28 04:37:19,365,v1.27,
100028,CONS-2025-000028,2025-10-02 08:28:00,2025-10,Basiq,NAB,Credit Card,Cards + Transactions,Retail,Mobile App,iOS,Password,OAuth Redirect,Y,Y,Expired,Consent Review,669,,,365,v1.28,Consent expired
100029,CONS-2025-000029,2025-11-19 08:24:00,2025-11,NextGen,ING,Transaction Account,Full Banking Data,Retail,Mobile App,Android,Biometric,OAuth Redirect,Y,Y,Completed,Completed,211,106,2025-11-19 08:25:46,365,v1.28,
100030,CONS-2025-000030,2025-05-24 18:53:00,2025-05,Frollo,NAB,Personal Loan,Accounts + Balances,Retail,Web,Desktop,Biometric,App-to-App,Y,Y,Abandoned,Account Selection,835,,,90,v1.28,Consent scope confusion
100031,CONS-2025-000031,2025-01-20 08:17:00,2025-01,Ezidox,Macquarie,Transaction Account,Accounts + Transactions,Retail,Mobile App,Android,Password,App-to-App,Y,Y,Completed,Completed,223,118,2025-01-20 08:18:58,90,v1.28,
100032,CONS-2025-000032,2025-05-19 12:32:00,2025-05,Basiq,CBA,Credit Card,Accounts + Transactions,Sole Trader,Third-Party App,iOS,Password,App-to-App,Y,Y,Completed,Completed,313,205,2025-05-19 12:35:25,180,v1.28,
100033,CONS-2025-000033,2025-04-07 03:19:00,2025-04,Frollo,CBA,Savings Account,Loans + Repayments,Small Business,Web,Desktop,Password,OAuth Redirect,Y,Y,Completed,Completed,291,240,2025-04-07 03:23:00,180,v1.27,
100034,CONS-2025-000034,2025-06-17 23:36:00,2025-06,Frollo,Suncorp Bank,Savings Account,Accounts + Transactions,Retail,Mobile App,iOS,Biometric,App-to-App,Y,Y,Completed,Completed,180,129,2025-06-17 23:38:09,180,v1.26,
100035,CONS-2025-000035,2025-11-21 10:03:00,2025-11,Frollo,AMP Bank,Transaction Account,Accounts + Balances,Retail,Mobile App,Android,Biometric,OAuth Redirect,Y,Y,Completed,Completed,318,271,2025-11-21 10:07:31,365,v1.28,
100036,CONS-2025-000036,2025-08-12 16:48:00,2025-08,Regional Australia Bank,Westpac,Transaction Account,Cards + Transactions,Retail,Mobile App,Android,Password,App-to-App,Y,Y,Completed,Completed,187,120,2025-08-12 16:50:00,180,v1.28,
100037,CONS-2025-000037,2025-03-19 11:39:00,2025-03,Frollo,CBA,Transaction Account,Accounts + Transactions,Small Business,Web,Desktop,Password,App-to-App,Y,Y,Completed,Completed,141,84,2025-03-19 11:40:24,180,v1.26,
100038,CONS-2025-000038,2025-07-29 01:25:00,2025-07,Basiq,CBA,Savings Account,Accounts + Transactions,High Net Worth,Mobile App,Android,Password,OAuth Redirect,Y,Y,Completed,Completed,326,226,2025-07-29 01:28:46,365,v1.28,
100039,CONS-2025-000039,2025-06-19 02:16:00,2025-06,Cuscal,Macquarie,Home Loan,Full Banking Data,Sole Trader,Mobile App,iOS,Password,App-to-App,Y,Y,Abandoned,Consent Confirmation,169,,,365,v1.26,Navigation error
100040,CONS-2025-000040,2025-05-02 17:10:00,2025-05,Basiq,NAB,Savings Account,Full Banking Data,Small Business,Web,Desktop,Password,QR Web-to-App,Y,Y,Completed,Completed,140,119,2025-05-02 17:11:59,90,v1.28,
100041,CONS-2025-000041,2025-01-08 06:26:00,2025-01,Cuscal,ANZ,Savings Account,Accounts + Balances,Retail,Mobile App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,72,71,2025-01-08 06:27:11,90,v1.28,
100042,CONS-2025-000042,2025-11-21 22:28:00,2025-11,Basiq,NAB,Credit Card,Full Banking Data,Retail,Mobile App,Android,Password,App-to-App,Y,N,Abandoned,OTP,65,,,365,v1.28,OTP timeout
100043,CONS-2025-000043,2025-01-09 04:18:00,2025-01,Regional Australia Bank,CBA,Transaction Account,Loans + Repayments,Retail,Third-Party App,iOS,Biometric,App-to-App,Y,Y,Completed,Completed,252,226,2025-01-09 04:21:46,180,v1.26,
100044,CONS-2025-000044,2025-02-28 21:42:00,2025-02,Frollo,AMP Bank,Transaction Account,Accounts + Balances,Retail,Mobile App,iOS,Biometric,OAuth Redirect,Y,Y,Completed,Completed,195,134,2025-02-28 21:44:14,180,v1.27,
100045,CONS-2025-000045,2025-06-04 07:21:00,2025-06,Regional Australia Bank,ANZ,Transaction Account,Accounts + Balances,Small Business,Web,Desktop,Biometric,OAuth Redirect,Y,Y,Completed,Completed,296,241,2025-06-04 07:25:01,365,v1.28,
100046,CONS-2025-000046,2025-04-07 01:47:00,2025-04,Intuit,Westpac,Credit Card,Accounts + Balances,Retail,Mobile App,Android,Biometric,OAuth Redirect,Y,Y,Completed,Completed,260,181,2025-04-07 01:50:01,180,v1.28,
100047,CONS-2025-000047,2025-06-06 02:35:00,2025-06,NextGen,Westpac,Home Loan,Accounts + Balances,Small Business,Third-Party App,Android,Biometric,OAuth Redirect,Y,Y,Completed,Completed,173,139,2025-06-06 02:37:19,90,v1.28,
100048,CONS-2025-000048,2025-12-14 05:15:00,2025-12,illion,CBA,Business Account,Accounts + Transactions,Retail,Third-Party App,iOS,Password,QR Web-to-App,Y,N,Abandoned,OTP,223,,,365,v1.27,OTP incorrect
100049,CONS-2025-000049,2025-09-28 13:21:00,2025-09,illion,ANZ,Credit Card,Cards + Transactions,Retail,Mobile App,iOS,Password,App-to-App,Y,Y,Completed,Completed,368,297,2025-09-28 13:25:57,365,v1.28,
100050,CONS-2025-000050,2025-02-19 14:10:00,2025-02,Ezidox,CBA,Savings Account,Cards + Transactions,Retail,Web,Desktop,Password,QR Web-to-App,Y,Y,Completed,Completed,192,131,2025-02-19 14:12:11,365,v1.27,
100051,CONS-2025-000051,2025-02-24 17:53:00,2025-02,Regional Australia Bank,Suncorp Bank,Personal Loan,Full Banking Data,Retail,Third-Party App,Android,Password,OAuth Redirect,Y,Y,Completed,Completed,220,111,2025-02-24 17:54:51,90,v1.28,
100052,CONS-2025-000052,2025-07-04 12:42:00,2025-07,Frollo,Macquarie,Savings Account,Accounts + Balances,Retail,Web,Desktop,Password,OAuth Redirect,Y,Y,Abandoned,Account Selection,703,,,180,v1.28,Navigation error
100053,CONS-2025-000053,2025-02-27 07:54:00,2025-02,illion,CBA,Savings Account,Loans + Repayments,Retail,Mobile App,Android,Password,App-to-App,Y,Y,Completed,Completed,221,124,2025-02-27 07:56:04,365,v1.28,
100054,CONS-2025-000054,2025-08-23 07:36:00,2025-08,Adatree,Macquarie,Credit Card,Full Banking Data,Retail,Web,Desktop,Biometric,OAuth Redirect,Y,Y,Completed,Completed,101,100,2025-08-23 07:37:40,365,v1.28,
100055,CONS-2025-000055,2025-11-08 18:04:00,2025-11,Cuscal,NAB,Savings Account,Accounts + Transactions,Sole Trader,Mobile App,iOS,Password,QR Web-to-App,Y,Y,Completed,Completed,188,109,2025-11-08 18:05:49,365,v1.27,
100056,CONS-2025-000056,2025-04-28 01:58:00,2025-04,Yodlee,Bendigo Bank,Home Loan,Full Banking Data,Retail,Mobile App,iOS,Biometric,App-to-App,Y,Y,Completed,Completed,65,61,2025-04-28 01:59:01,365,v1.27,
100057,CONS-2025-000057,2025-06-09 08:40:00,2025-06,Cuscal,CBA,Transaction Account,Accounts + Transactions,Small Business,Mobile App,Android,Biometric,App-to-App,Y,Y,Completed,Completed,144,102,2025-06-09 08:41:42,90,v1.27,
100058,CONS-2025-000058,2025-02-22 04:43:00,2025-02,NextGen,Suncorp Bank,Home Loan,Full Banking Data,Retail,Mobile App,Android,Biometric,OAuth Redirect,Y,Y,Completed,Completed,221,157,2025-02-22 04:45:37,180,v1.26,
100059,CONS-2025-000059,2025-04-14 21:23:00,2025-04,Adatree,CBA,Transaction Account,Accounts + Transactions,Retail,Third-Party App,Android,Password,OAuth Redirect,Y,Y,Completed,Completed,185,168,2025-04-14 21:25:48,365,v1.26,
100060,CONS-2025-000060,2025-04-02 04:32:00,2025-04,Ezidox,Suncorp Bank,Business Account,Full Banking Data,Sole Trader,Web,Desktop,Password,App-to-App,Y,Y,Completed,Completed,219,132,2025-04-02 04:34:12,180,v1.27,
100061,CONS-2025-000061,2025-10-18 21:32:00,2025-10,Finder,Macquarie,Transaction Account,Accounts + Balances,Retail,Mobile App,iOS,Password,App-to-App,Y,Y,Expired,Consent Confirmation,265,,,365,v1.26,Consent expired
100062,CONS-2025-000062,2025-04-08 05:10:00,2025-04,Adatree,Westpac,Personal Loan,Accounts + Balances,Small Business,Mobile App,iOS,Password,App-to-App,Y,Y,Completed,Completed,123,95,2025-04-08 05:11:35,365,v1.26,
100063,CONS-2025-000063,2025-05-04 09:23:00,2025-05,NextGen,Bank Australia,Transaction Account,Cards + Transactions,Retail,Mobile App,iOS,Password,App-to-App,Y,Y,Completed,Completed,180,82,2025-05-04 09:24:22,365,v1.28,
100064,CONS-2025-000064,2025-07-29 19:57:00,2025-07,Cuscal,ING,Transaction Account,Accounts + Balances,Retail,Mobile App,iOS,Password,OAuth Redirect,Y,Y,Expired,Consent Review,386,,,90,v1.27,Consent expired
100065,CONS-2025-000065,2025-01-28 20:27:00,2025-01,Basiq,CBA,Savings Account,Full Banking Data,Retail,Mobile App,Android,Password,OAuth Redirect,Y,Y,Abandoned,Consent Confirmation,876,,,365,v1.28,Session timeout
100066,CONS-2025-000066,2025-07-01 20:00:00,2025-07,Frollo,ANZ,Transaction Account,Accounts + Balances,Retail,Third-Party App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,183,85,2025-07-01 20:01:25,90,v1.26,
100067,CONS-2025-000067,2025-02-14 07:05:00,2025-02,Intuit,NAB,Credit Card,Accounts + Transactions,Retail,Web,Desktop,Password,OAuth Redirect,Y,Y,Expired,Consent Confirmation,263,,,365,v1.26,Consent expired
100068,CONS-2025-000068,2025-04-30 12:18:00,2025-04,illion,ING,Savings Account,Accounts + Transactions,Retail,Web,Desktop,Biometric,App-to-App,Y,Y,Completed,Completed,284,267,2025-04-30 12:22:27,365,v1.26,
100069,CONS-2025-000069,2025-03-24 14:15:00,2025-03,Ezidox,ANZ,Credit Card,Loans + Repayments,Retail,Third-Party App,iOS,Biometric,App-to-App,Y,Y,Completed,Completed,268,162,2025-03-24 14:17:42,365,v1.27,
100070,CONS-2025-000070,2025-12-25 12:36:00,2025-12,Intuit,Bendigo Bank,Transaction Account,Cards + Transactions,Small Business,Third-Party App,Android,Password,OAuth Redirect,Y,Y,Expired,Consent Confirmation,543,,,180,v1.27,Consent expired
100071,CONS-2025-000071,2025-02-24 00:04:00,2025-02,Adatree,Bendigo Bank,Savings Account,Accounts + Transactions,Small Business,Mobile App,Android,Biometric,App-to-App,Y,Y,Completed,Completed,237,126,2025-02-24 00:06:06,180,v1.27,
100072,CONS-2025-000072,2025-03-13 14:32:00,2025-03,Adatree,Westpac,Savings Account,Accounts + Balances,Small Business,Web,Desktop,Password,OAuth Redirect,Y,Y,Abandoned,Consent Review,59,,,90,v1.27,Consent scope confusion
100073,CONS-2025-000073,2025-11-29 19:36:00,2025-11,Frollo,ANZ,Transaction Account,Accounts + Transactions,Retail,Web,Desktop,Biometric,App-to-App,Y,Y,Completed,Completed,273,205,2025-11-29 19:39:25,180,v1.27,
100074,CONS-2025-000074,2025-06-15 08:59:00,2025-06,illion,CBA,Transaction Account,Full Banking Data,Retail,Mobile App,iOS,Password,App-to-App,Y,N,Abandoned,OTP,501,,,180,v1.27,OTP timeout
100075,CONS-2025-000075,2025-07-04 06:52:00,2025-07,Cuscal,Suncorp Bank,Transaction Account,Cards + Transactions,Retail,Mobile App,iOS,Password,App-to-App,Y,Y,Completed,Completed,149,123,2025-07-04 06:54:03,365,v1.28,
100076,CONS-2025-000076,2025-11-13 03:31:00,2025-11,Basiq,ANZ,Savings Account,Accounts + Balances,Retail,Third-Party App,iOS,Password,App-to-App,Y,Y,Completed,Completed,247,135,2025-11-13 03:33:15,365,v1.27,
100077,CONS-2025-000077,2025-06-11 06:36:00,2025-06,Adatree,Westpac,Transaction Account,Accounts + Transactions,Retail,Third-Party App,iOS,Password,App-to-App,Y,Y,Completed,Completed,259,220,2025-06-11 06:39:40,365,v1.28,
100078,CONS-2025-000078,2025-03-20 07:13:00,2025-03,Cuscal,NAB,Credit Card,Accounts + Transactions,Retail,Third-Party App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,212,112,2025-03-20 07:14:52,365,v1.27,
100079,CONS-2025-000079,2025-12-29 05:53:00,2025-12,Frollo,NAB,Credit Card,Accounts + Transactions,Retail,Third-Party App,Android,Password,App-to-App,Y,Y,Completed,Completed,262,212,2025-12-29 05:56:32,180,v1.28,
100080,CONS-2025-000080,2025-10-30 18:19:00,2025-10,Basiq,ANZ,Credit Card,Full Banking Data,Small Business,Third-Party App,Android,Password,App-to-App,Y,N,Abandoned,OTP,489,,,365,v1.28,OTP not received
100081,CONS-2025-000081,2025-08-04 14:13:00,2025-08,Adatree,CBA,Credit Card,Accounts + Transactions,Retail,Mobile App,Android,Biometric,OAuth Redirect,Y,Y,Completed,Completed,189,175,2025-08-04 14:15:55,365,v1.27,
100082,CONS-2025-000082,2025-07-10 10:41:00,2025-07,NextGen,ING,Home Loan,Accounts + Balances,Retail,Web,Desktop,Biometric,OAuth Redirect,Y,Y,Completed,Completed,275,209,2025-07-10 10:44:29,180,v1.28,
100083,CONS-2025-000083,2025-06-18 09:45:00,2025-06,illion,Macquarie,Transaction Account,Full Banking Data,Retail,Mobile App,Android,Password,OAuth Redirect,Y,Y,Completed,Completed,248,151,2025-06-18 09:47:31,90,v1.28,
100084,CONS-2025-000084,2025-11-05 09:53:00,2025-11,NextGen,Bendigo Bank,Savings Account,Cards + Transactions,Retail,Mobile App,Android,Password,OAuth Redirect,Y,Y,Expired,Consent Confirmation,565,,,180,v1.27,Consent expired
100085,CONS-2025-000085,2025-11-24 15:02:00,2025-11,Intuit,CBA,Transaction Account,Full Banking Data,Small Business,Web,Desktop,Biometric,App-to-App,Y,Y,Completed,Completed,172,120,2025-11-24 15:04:00,90,v1.26,
100086,CONS-2025-000086,2025-12-29 19:31:00,2025-12,Frollo,NAB,Credit Card,Loans + Repayments,Retail,Web,Desktop,Password,OAuth Redirect,Y,Y,Completed,Completed,400,311,2025-12-29 19:36:11,365,v1.27,
100087,CONS-2025-000087,2025-10-29 07:42:00,2025-10,Frollo,CBA,Savings Account,Full Banking Data,Retail,Third-Party App,Android,Password,QR Web-to-App,Y,Y,Completed,Completed,102,98,2025-10-29 07:43:38,180,v1.27,
100088,CONS-2025-000088,2025-07-19 07:51:00,2025-07,Frollo,NAB,Savings Account,Accounts + Transactions,Sole Trader,Mobile App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,257,251,2025-07-19 07:55:11,180,v1.26,
100089,CONS-2025-000089,2025-03-05 05:39:00,2025-03,Intuit,Suncorp Bank,Transaction Account,Accounts + Transactions,Retail,Third-Party App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,302,201,2025-03-05 05:42:21,180,v1.27,
100090,CONS-2025-000090,2025-07-05 10:04:00,2025-07,Yodlee,CBA,Personal Loan,Cards + Transactions,Retail,Mobile App,Android,Password,OAuth Redirect,Y,Y,Completed,Completed,116,66,2025-07-05 10:05:06,365,v1.28,
100091,CONS-2025-000091,2025-09-12 17:35:00,2025-09,NextGen,ANZ,Transaction Account,Cards + Transactions,Retail,Mobile App,iOS,Biometric,App-to-App,Y,Y,Completed,Completed,255,143,2025-09-12 17:37:23,180,v1.26,
100092,CONS-2025-000092,2025-11-06 01:54:00,2025-11,illion,ING,Transaction Account,Accounts + Transactions,Retail,Third-Party App,iOS,Password,OAuth Redirect,Y,Y,Expired,Consent Confirmation,102,,,180,v1.28,Consent expired
100093,CONS-2025-000093,2025-08-22 21:38:00,2025-08,Cuscal,Macquarie,Home Loan,Accounts + Transactions,Retail,Web,Desktop,Password,OAuth Redirect,Y,Y,Completed,Completed,327,270,2025-08-22 21:42:30,365,v1.27,
100094,CONS-2025-000094,2025-09-28 04:43:00,2025-09,Adatree,ANZ,Savings Account,Full Banking Data,Sole Trader,Mobile App,Android,Biometric,QR Web-to-App,Y,Y,Completed,Completed,375,262,2025-09-28 04:47:22,365,v1.28,
100095,CONS-2025-000095,2025-11-10 09:28:00,2025-11,NextGen,NAB,Credit Card,Accounts + Transactions,Retail,Mobile App,iOS,Password,App-to-App,Y,Y,Completed,Completed,139,122,2025-11-10 09:30:02,365,v1.28,
100096,CONS-2025-000096,2025-12-18 09:40:00,2025-12,illion,Suncorp Bank,Savings Account,Accounts + Balances,Retail,Mobile App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,191,133,2025-12-18 09:42:13,90,v1.27,
100097,CONS-2025-000097,2025-05-05 13:42:00,2025-05,Intuit,Macquarie,Savings Account,Accounts + Balances,Sole Trader,Web,Desktop,Password,OAuth Redirect,Y,Y,Completed,Completed,264,192,2025-05-05 13:45:12,365,v1.27,
100098,CONS-2025-000098,2025-04-25 03:31:00,2025-04,Ezidox,Macquarie,Transaction Account,Accounts + Transactions,Retail,Mobile App,Android,Biometric,OAuth Redirect,Y,Y,Completed,Completed,168,119,2025-04-25 03:32:59,365,v1.28,
100099,CONS-2025-000099,2025-03-30 00:21:00,2025-03,Frollo,ING,Transaction Account,Accounts + Transactions,Retail,Web,Desktop,Password,OAuth Redirect,Y,Y,Completed,Completed,256,203,2025-03-30 00:24:23,365,v1.27,
100100,CONS-2025-000100,2025-04-16 14:39:00,2025-04,Regional Australia Bank,NAB,Transaction Account,Accounts + Transactions,Retail,Mobile App,Android,Password,OAuth Redirect,Y,N,Abandoned,OTP,336,,,365,v1.27,OTP timeout
100101,CONS-2025-000101,2025-05-01 11:59:00,2025-05,Frollo,NAB,Savings Account,Accounts + Balances,Small Business,Mobile App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,390,317,2025-05-01 12:04:17,365,v1.28,
100102,CONS-2025-000102,2025-05-21 18:41:00,2025-05,Intuit,NAB,Credit Card,Full Banking Data,Retail,Third-Party App,Android,Password,App-to-App,Y,Y,Completed,Completed,222,189,2025-05-21 18:44:09,365,v1.28,
100103,CONS-2025-000103,2025-10-13 10:26:00,2025-10,illion,ANZ,Transaction Account,Full Banking Data,Small Business,Web,Desktop,Biometric,App-to-App,Y,Y,Completed,Completed,211,111,2025-10-13 10:27:51,365,v1.27,
100104,CONS-2025-000104,2025-11-08 14:36:00,2025-11,Adatree,AMP Bank,Savings Account,Accounts + Balances,Retail,Web,Desktop,Password,App-to-App,Y,Y,Abandoned,Consent Review,75,,,365,v1.27,Session timeout
100105,CONS-2025-000105,2025-09-29 19:01:00,2025-09,Cuscal,Suncorp Bank,Personal Loan,Full Banking Data,Retail,Third-Party App,iOS,Password,QR Web-to-App,Y,Y,Completed,Completed,449,337,2025-09-29 19:06:37,365,v1.27,
100106,CONS-2025-000106,2025-02-16 02:42:00,2025-02,Regional Australia Bank,ANZ,Savings Account,Full Banking Data,Retail,Mobile App,Android,Password,App-to-App,Y,Y,Expired,Consent Review,747,,,90,v1.26,Consent expired
100107,CONS-2025-000107,2025-03-21 01:37:00,2025-03,Basiq,ANZ,Business Account,Accounts + Balances,Retail,Third-Party App,iOS,Password,OAuth Redirect,Y,Y,Completed,Completed,211,108,2025-03-21 01:38:48,365,v1.28,
100108,CONS-2025-000108,2025-03-26 08:14:00,2025-03,Frollo,NAB,Home Loan,Accounts + Balances,Small Business,Web,Desktop,Password,OAuth Redirect,Y,Y,Completed,Completed,214,120,2025-03-26 08:16:00,365,v1.27,
100109,CONS-2025-000109,2025-12-07 02:58:00,2025-12,Adatree,Suncorp Bank,Transaction Account,Accounts + Transactions,Small Business,Mobile App,Android,Password,OAuth Redirect,Y,Y,Completed,Completed,172,152,2025-12-07 03:00:32,365,v1.27,
100110,CONS-2025-000110,2025-03-14 09:30:00,2025-03,NextGen,ANZ,Transaction Account,Loans + Repayments,Small Business,Third-Party App,Android,Biometric,QR Web-to-App,Y,Y,Completed,Completed,195,139,2025-03-14 09:32:19,365,v1.28,
100111,CONS-2025-000111,2025-01-11 03:07:00,2025-01,Frollo,ING,Transaction Account,Accounts + Balances,Sole Trader,Mobile App,Android,Password,OAuth Redirect,Y,Y,Completed,Completed,321,278,2025-01-11 03:11:38,365,v1.28,
100112,CONS-2025-000112,2025-09-06 03:59:00,2025-09,Basiq,Bendigo Bank,Transaction Account,Full Banking Data,Small Business,Mobile App,Android,Biometric,App-to-App,Y,Y,Completed,Completed,159,98,2025-09-06 04:00:38,90,v1.27,
100113,CONS-2025-000113,2025-12-02 19:00:00,2025-12,Frollo,CBA,Savings Account,Accounts + Balances,Retail,Web,Desktop,Password,App-to-App,Y,Y,Completed,Completed,291,252,2025-12-02 19:04:12,365,v1.28,
